"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048705","skeletal system morphogenesis","81/2619","238/21261",1.86376110533831e-18,1.03503132648289e-15,7.42334079199954e-16,"CYP26B1/FOXC1/COL11A1/FGFR2/FOSL2/RARB/MEF2C/MMP2/TBX15/EYA1/SFRP1/DLX5/SFRP4/COL1A1/NKX3-2/SOX6/TRPV4/MGP/MDFI/ACVR2B/DLX2/PRRX1/PAPPA2/CCN2/SATB2/TGFB3/MSX2/RDH10/TWIST1/RUNX2/BMP4/SOX9/SIX1/LAMA5/RARA/GSC/TFAP2A/BMPR1B/FBN2/COL2A1/OSR1/CSRNP1/CSGALNACT1/CER1/ZEB1/SERPINH1/BMP6/WNT7A/PPARGC1B/FGF18/MMP14/WNT9B/STC1/NPR2/DHRS3/NPPC/TGFBR2/TIPARP/HHIP/UNCX/GREM1/LTBP3/BMP1/SHOX2/THBS3/WNT10B/SIX2/HAS2/RARG/HOXD8/FOXC2/IRX5/NEUROG1/TMEM119/RFLNB/NOG/PAX5/ANXA6/COL13A1/SP5/LHX1",81
"GO:0001503","ossification","132/2619","496/21261",2.0039328683115e-18,1.03503132648289e-15,7.42334079199954e-16,"CALCR/MRC2/WWTR1/HGF/IBSP/TNC/GPM6B/FOXC1/CHRDL2/COL11A1/HDAC7/SBNO2/FGFR2/FSTL3/TP63/PTGS2/FOSL2/BCAP29/MEF2C/MMP2/FGF9/SFRP1/DLX5/ASPN/WNT3/COL1A1/MDK/CALCA/MGP/VDR/BMP5/GPLD1/LOX/ACVR2B/TACR1/FHL2/CCN2/SPP1/SATB2/MSX2/TWIST1/SNAI1/RUNX2/BMP4/SOX9/RRBP1/BMP2/TWSG1/TPH1/GDPD2/PPARG/FIGNL1/IL6ST/OSTF1/IL6/TFAP2A/ITGA11/SEMA7A/BMPR1B/FBN2/COL2A1/CDH11/TNFRSF11A/CCN1/OSR1/IGFBP3/CSGALNACT1/RSPO2/CER1/NOTCH1/ADAMTS12/IGSF10/DMP1/BMP3/BMP6/WNT3A/PPARGC1B/SLC26A2/FGF18/MMP14/CREB3L1/STC1/RUNX1/NPR2/IL6R/ALOX15/DHRS3/DDR2/NPPC/RANBP3L/ADGRV1/SHH/COL1A2/CTHRC1/CLEC3A/GREM1/TPM4/LTBP3/RBPJ/BMP1/NPNT/SHOX2/ROR2/THBS3/ADRB2/WNT10B/SIX2/JUNB/CEBPB/FOXC2/ANO6/FAM20C/TMEM119/RFLNB/NOG/TOB2/PRKD1/SLC24A3/TMT1A/FFAR4/ISG15/OSTN/FZD9/RYR1/PDLIM7/COL13A1/RORB/COL5A2/LGR4/CLIC1/CEBPD/GDF10",132
"GO:0060537","muscle tissue development","124/2619","457/21261",4.17647723842892e-18,1.99121584029096e-15,1.42811849213646e-15,"CYP26B1/TFAP2B/MYOM2/DSG2/XK/ELN/FOXC1/YBX3/COL11A1/GPC1/ERBB3/MYLK/FGFR2/TGFBR3/SEMA3C/FOSL2/RARB/ACTN2/ITGA8/NEBL/RBFOX1/EDN1/FGF20/TP73/MEF2C/CACNA1S/LRP2/COL19A1/KCNK2/NOX4/MYL6/TGFB2/TLL2/DSP/KLF5/FGF9/EYA1/PPP1R13L/TGFB1/CAV2/CAV1/ENG/CNTNAP1/PHOX2B/PPARGC1A/SOX6/BMP5/RBM24/TBX18/LOX/FOXP1/FHL2/PROX1/MSX2/TWIST1/BMP4/SOX9/BMP2/SIX1/RARA/MYH11/TBX3/FLNB/NIBAN2/STRA6/RBP4/TPM1/MYLK3/GATA6/ACTA1/OSR1/NOTCH1/ANKRD1/VAX1/TENM4/JPH2/ITGB1/POU4F1/WNT3A/FZD7/CSRP1/RUNX1/ACTC1/BTG2/NPR2/LMNA/SELENON/ATF3/PDLIM5/EOMES/ADAMTS9/TIPARP/HEYL/SHH/GREM1/RBPJ/SHOX2/WNT10B/FOS/SGCD/HOPX/MYOZ2/HEG1/CSRP2/NPPA/NUPR1/FOXC2/IRX3/MYOZ1/PLEC/MSC/GJC1/NOG/FOXL2/SCN5A/PRKG1/KCNJ11/PAX5/RYR1/SVIL/NRAP/PLN/ALPK2/GJA5",124
"GO:0048562","embryonic organ morphogenesis","96/2619","316/21261",8.78971283990426e-18,3.8913314415519e-15,2.79089904683576e-15,"DLX6/KCNQ1/COL11A1/NTN1/FGFR2/PAX2/RARB/ITGA8/EDN1/MEF2C/TBX15/FGF9/FOXF1/EYA1/DLX5/ENG/GATA3/CDH23/NKX3-2/FOLR1/MDFI/PTK7/TBX18/EFEMP1/OTX1/DLX2/VAX2/PRRX1/KCNQ4/PROX1/SATB2/TGFB3/PLS1/RDH10/TWIST1/RUNX2/WNT1/BMP4/SOX9/SIX1/EPHB2/MICAL2/GSC/APLNR/TBX3/TFAP2A/FOXF2/STRA6/SIX3/LBX1/RBP4/FBN2/COL2A1/FOXN4/OSR1/CRB2/NOTCH1/ZEB1/ZIC1/DNAAF1/WNT3A/MMP14/GRHL3/WNT9B/NEUROD1/FRZB/FZD5/TGFBR2/CLRN1/SHH/CTHRC1/STOX1/FBN1/CCDC103/SHOX2/EFNA1/SIX2/RARG/CHRNA9/FOXC2/IRX5/FOXE1/TSHZ1/TH/TMIE/NEUROG1/USH1G/NOG/FOXL2/HMX3/HMX2/PAX5/POU3F4/MFAP5/LHFPL5/LHX1",96
"GO:0007411","axon guidance","81/2619","246/21261",1.75277285178546e-17,6.78980383460392e-15,4.86971036387499e-15,"PLXND1/ETV1/SEMA3G/ANOS1/SEMA3B/CNTN1/NTN1/EPHA8/NOTCH3/SEMA3C/EDN1/EPHA6/SEMA5B/SEMA6A/NRP1/RPS6KA5/DLX5/EPHB6/GATA3/CXCL12/UNC5B/LGI1/WNT3/PTK7/SEMA5A/TNR/ECE1/MYOT/NDP/VASP/FEZF1/PALLD/LGR6/EPHB2/CNTN6/EPHA7/NKX2-1/TBR1/NIBAN2/SEMA7A/BMPR1B/ERBB2/LHX9/GDF7/CNTN4/LRTM1/SLIT2/EPHA5/HMCN2/NOTCH1/VAX1/KIAA1755/POU4F2/PLEKHG4B/SEMA3D/WNT3A/ENAH/NTN3/NEXN/LMX1A/SHH/OTX2/RET/GDNF/EFNA1/SEMA3E/DSCAM/LAMB2/BDNF/UNC5C/NOG/CNTN2/SLIT3/ROBO2/SEMA4B/SLIT1/RELN/LAMA2/PLXNB3/FOXD1/LHX1",81
"GO:0097485","neuron projection guidance","81/2619","246/21261",1.75277285178546e-17,6.78980383460392e-15,4.86971036387499e-15,"PLXND1/ETV1/SEMA3G/ANOS1/SEMA3B/CNTN1/NTN1/EPHA8/NOTCH3/SEMA3C/EDN1/EPHA6/SEMA5B/SEMA6A/NRP1/RPS6KA5/DLX5/EPHB6/GATA3/CXCL12/UNC5B/LGI1/WNT3/PTK7/SEMA5A/TNR/ECE1/MYOT/NDP/VASP/FEZF1/PALLD/LGR6/EPHB2/CNTN6/EPHA7/NKX2-1/TBR1/NIBAN2/SEMA7A/BMPR1B/ERBB2/LHX9/GDF7/CNTN4/LRTM1/SLIT2/EPHA5/HMCN2/NOTCH1/VAX1/KIAA1755/POU4F2/PLEKHG4B/SEMA3D/WNT3A/ENAH/NTN3/NEXN/LMX1A/SHH/OTX2/RET/GDNF/EFNA1/SEMA3E/DSCAM/LAMB2/BDNF/UNC5C/NOG/CNTN2/SLIT3/ROBO2/SEMA4B/SLIT1/RELN/LAMA2/PLXNB3/FOXD1/LHX1",81
"GO:0007409","axonogenesis","126/2619","476/21261",1.9303603485079e-17,7.03786672944235e-15,5.0476233756959e-15,"PLXND1/ETV1/SEMA3G/ANOS1/SEMA3B/CNTN1/VCL/XK/FSTL4/NTN1/FGFR2/EPHA8/TRPC5/NOTCH3/SEMA3C/PAX2/EDN1/EPHA6/SEMA5B/SEMA6A/NRP1/RPS6KA5/METRN/NUMBL/DLX5/COBL/EPHB6/GATA3/CXCL12/UNC5B/LGI1/WNT3/CNTNAP1/RND2/PHOX2B/NR2E1/PTK7/SEMA5A/ITGA4/RTN4/VAX2/TNR/ECE1/SPP1/MYOT/NDP/VASP/EDN2/FEZF1/PALLD/APOE/OLFM1/LGR6/EPHB2/CNTN6/EPHA7/NKX2-1/TBR1/NIBAN2/SEMA7A/BMPR1B/CDH11/ERBB2/BARHL2/LHX9/GDF7/CNTN4/LRTM1/SLIT2/EPHA5/TIAM2/HMCN2/NOTCH1/VAX1/DRD2/KIAA1755/ITGB1/POU4F2/POU4F1/NR4A2/PLEKHG4B/SEMA3D/WNT3A/ENAH/WNT7A/NPR2/NTN3/NEXN/LMX1A/NKX6-1/SHH/ADCY1/OTX2/RET/SCN11A/GDNF/SHOX2/ACTBL2/EFNA1/SEMA3E/NPTX1/LPAR3/DSCAM/LAMB2/BDNF/SLITRK1/SLITRK4/UNC5C/NOG/CNTN2/SLIT3/ROBO2/SEMA4B/PRKG1/SLITRK2/CCK/SLIT1/RELN/NTNG2/LAMA2/POTEF/S100A6/PLXNB3/FOXD1/LHX1/NEFL",126
"GO:0043583","ear development","79/2619","239/21261",3.39909764489e-17,1.17042262239046e-14,8.39437973939793e-15,"DLX6/USH2A/KCNQ1/COL11A1/NTN1/FGFR2/PAX2/ITGA8/EDN1/FGF20/KCNK2/TGFB2/FGF9/EYA1/CALB1/DLX5/GATA3/CDH23/PHOX2B/NKX3-2/BMP5/EYA4/PTK7/TBX18/OTX1/PRRX1/KCNQ4/ECE1/PROX1/TGFB3/PLS1/RDH10/HPCA/TWIST1/SDC4/WNT1/BMP4/SOX9/BMP2/SIX1/EPHB2/GSC/TBX3/TFAP2A/STRA6/COL2A1/OSR1/NOTCH1/ZEB1/ZIC1/BCL2L11/SLC25A27/WNT3A/GRHL3/NEUROD1/FRZB/CLRN1/ADGRV1/SHH/CTHRC1/GJB2/STOX1/RBPJ/SIX2/CYTL1/CHRNA9/TSHZ1/TMIE/NEUROG1/USH1G/NOG/HMX3/HMX2/POU3F4/LRP10/LHFPL5/HES5/PJVK/CEBPD",79
"GO:0072006","nephron development","62/2619","165/21261",8.37448599951409e-17,2.7318454855257e-14,1.95930495157607e-14,"ITGA3/PROM1/TFAP2B/WWTR1/FOXC1/NOTCH3/PAX2/COL4A4/MEF2C/ANGPT2/PDGFB/EYA1/CALB1/GATA3/ACTA2/NID1/WNT1/BMP4/SOX9/BMP2/WNK4/SIX1/LIF/FOXJ1/LAMA5/WNT2B/PLCE1/ENPEP/IQGAP1/OSR1/ADAMTS16/NOTCH1/KIRREL3/HS3ST3A1/ANGPT1/MYO1E/WNT9B/IL6R/KIF26B/KLF15/HEYL/SHH/RET/SERPINB7/GREM1/GDNF/NPNT/COL4A3/IRX2/SIX2/LAMB2/CD34/FOXC2/IRX3/NOG/SULF2/SLC22A6/HES5/POU3F3/LGR4/FOXD1/LHX1",62
"GO:0090596","sensory organ morphogenesis","92/2619","306/21261",8.88999734836526e-17,2.7550101782584e-14,1.9759188843235e-14,"CYP26B1/DLX6/PROM1/TFAP2B/KCNQ1/PRDM1/COL11A1/NTN1/FGFR2/PAX2/RARB/ITGA8/EDN1/RS1/FGF9/EYA1/CALB1/DLX5/GATA3/CDH23/NKX3-2/PTK7/TBX18/EFEMP1/OTX1/VAX2/PRRX1/KCNQ4/PROX1/PLS1/TWIST1/NDP/WNT1/BMP4/SOX9/SIX1/KDR/COL5A1/EPHB2/GSC/WNT2B/TBX3/TFAP2A/FOXF2/STRA6/SIX3/RBP4/FBN2/COL2A1/FOXN4/NKD1/WNT9A/OSR1/COL8A1/CRB2/NOTCH1/ZEB1/THRB/ZIC1/WNT3A/MEGF11/GRHL3/FRZB/FZD5/CLRN1/CTHRC1/STOX1/FBN1/PTF1A/STAT3/SIX2/DSCAM/COL8A2/RARG/CHRNA9/TSHZ1/TH/TMIE/NEUROG1/USH1G/NOG/FOXL2/LCTL/HMX3/HMX2/POU3F4/MFAP5/LHFPL5/RORB/COL5A2/MFRP/LHX1",92
